iter	Passed	Remaining
908	1744	174
909	1745	172
910	1746	170
911	1747	168
912	1748	166
913	1749	164
914	1750	162
915	1752	160
916	1753	158
917	1754	156
918	1755	154
919	1756	152
920	1757	150
921	1759	148
922	1760	146
923	1761	144
924	1762	142
925	1763	140
926	1764	138
927	1765	136
928	1766	134
929	1767	133
930	1768	131
931	1768	129
932	1769	127
933	1770	125
934	1772	123
935	1773	121
936	1774	119
937	1775	117
938	1776	115
939	1777	113
940	1778	111
941	1779	109
942	1780	107
943	1781	105
944	1782	103
945	1783	101
946	1784	99
947	1785	97
948	1786	96
949	1788	94
950	1789	92
951	1790	90
952	1791	88
953	1792	86
954	1793	84
955	1794	82
956	1795	80
957	1795	78
958	1796	76
959	1797	74
960	1798	72
961	1799	71
962	1800	69
963	1801	67
964	1802	65
965	1804	63
966	1805	61
967	1805	59
968	1806	57
969	1807	55
970	1808	53
971	1808	52
972	1809	50
973	1810	48
974	1810	46
975	1811	44
976	1812	42
977	1812	40
978	1813	38
979	1814	37
980	1815	35
981	1815	33
982	1816	31
983	1817	29
984	1819	27
985	1820	25
986	1821	23
987	1821	22
988	1822	20
989	1823	18
990	1824	16
991	1824	14
992	1825	12
993	1826	11
994	1826	9
995	1827	7
996	1828	5
997	1828	3
998	1829	1
999	1830	0
